,user1,user2,weight,time_window
9,555300363,80200885,135,iii
10,704779333307650048,80200885,131,iii
11,887707547284762624,469488146,129,iii
12,1021332450893541376,1012893330,127,iii
13,2280648054,25676606,127,iii
14,710579736519512064,1063806444380798976,125,iii
15,793539264944467969,80200885,125,iii
16,3676549834,469677548,123,iii
17,4774998749,1012893330,121,iii
18,3892072667,469488146,119,iii
19,1087434954487795715,1043499474289655808,116,iii
20,797506411148312576,929359340326281217,115,iii
21,695981551973179392,1012893330,114,iii
22,969668587731456000,1043499474289655808,113,iii
23,1167330216,331617619,112,iii
24,1204066082,479810905,111,iii
25,1006859155481784323,1012893330,110,iii
26,899567373367345152,1012893330,109,iii
27,1863384008,1012893330,109,iii
28,969668587731456000,1012893330,109,iii
29,2217674274,80200885,109,iii
30,1252951603386167296,479810905,109,iii
31,273897097,1063806444380798976,108,iii
32,1231518169149444096,1058396850858926083,108,iii
33,1047925196064284674,469488146,108,iii
34,424084271,479810905,107,iii
35,963045433701416962,80200885,107,iii
36,1047987218,1012893330,106,iii
37,896479197081853956,1063806444380798976,106,iii
38,3030533474,18935802,105,iii
39,1012893330,4774998749,105,iii
40,1179711277,469488146,104,iii
41,398032197,479810905,104,iii
42,3892072667,1012893330,103,iii
43,2149665647,80200885,103,iii
44,3431179509,1012893330,103,iii
45,1231518169149444096,1043499474289655808,103,iii
46,2288557992,80200885,102,iii
47,896048840947765249,80200885,101,iii
48,618244710,150725695,101,iii
49,1231518169149444096,4774998749,101,iii
50,3432995584,80200885,101,iii
51,2657120268,1012893330,100,iii
52,3327831430,1063806444380798976,99,iii
53,939404858679091200,1043499474289655808,99,iii
54,1372573350,1012893330,97,iii
55,3038103838,80200885,97,iii
56,411295303,1012893330,96,iii
57,706097800040357889,479810905,96,iii
58,1021876093157036033,1012893330,95,iii
59,2856502463,1012893330,95,iii
60,493901532,1012893330,94,iii
61,1062792614272008193,1058396850858926083,94,iii
62,899567373367345152,4774998749,91,iii
63,901504367798431744,1012893330,90,iii
64,4924190242,1012893330,90,iii
65,1029709713670324224,1043499474289655808,90,iii
66,3431179509,1043499474289655808,90,iii
67,1322543941,1012893330,89,iii
68,489374582,1012893330,89,iii
69,929359340326281217,1063806444380798976,88,iii
70,1058447358,469488146,88,iii
71,2970015723,1012893330,87,iii
72,1063806444380798976,80200885,87,iii
73,580096126,1063806444380798976,87,iii
74,304449851,80200885,87,iii
75,1052311411576066048,1012893330,87,iii
